uniqueid,game,firstPlayer,choice1,choice2,phase,rating
36,coordination0,row,A,A,rangeProb1,51
36,disjunctive3,column,B,B,rangeProb1,51
36,disjunctive0,row,A,A,rangeProb1,52
36,singleControl0,row,A,A,rangeProb1,53
36,singleControl1,column,B,A,rangeProb1,13
36,threat0,column,A,A,rangeProb1,94
36,threat1,row,A,B,rangeProb1,56
36,threat3,column,B,B,rangeProb1,55
36,pd0,row,A,A,rangeProb1,54
36,pd3,row,B,B,rangeProb1,56
37,threat0,column,A,A,rangeProb1,68
37,threat3,row,B,B,rangeProb1,35
37,threat1,row,A,B,rangeProb1,63
37,disjunctive3,column,B,B,rangeProb1,41
37,disjunctive0,row,A,A,rangeProb1,73
37,pd3,column,B,B,rangeProb1,44
37,pd0,column,A,A,rangeProb1,65
37,coordination0,row,A,A,rangeProb1,52
37,coordination1,row,A,B,rangeProb1,55
37,singleControl0,row,A,A,rangeProb1,50
37,singleControl1,row,A,B,rangeProb1,50
38,singleControl0,row,A,A,rangeProb1,85
38,singleControl1,column,B,A,rangeProb1,16
38,pd3,column,B,B,rangeProb1,5
38,pd0,row,A,A,rangeProb1,87
38,threat0,row,A,A,rangeProb1,55
38,threat3,row,B,B,rangeProb1,77
38,threat1,column,B,A,rangeProb1,39
38,coordination0,column,A,A,rangeProb1,87
38,coordination1,row,A,B,rangeProb1,81
38,disjunctive3,row,B,B,rangeProb1,79
38,disjunctive0,row,A,A,rangeProb1,77
39,disjunctive0,column,A,A,rangeProb1,50
39,disjunctive3,row,B,B,rangeProb1,62
39,coordination1,row,A,B,rangeProb1,71
39,coordination0,row,A,A,rangeProb1,84
39,pd0,row,A,A,rangeProb1,99
39,pd3,row,B,B,rangeProb1,24
39,threat0,column,A,A,rangeProb1,100
39,threat3,row,B,B,rangeProb1,29
39,threat1,row,A,B,rangeProb1,97
39,singleControl0,row,A,A,rangeProb1,50
39,singleControl1,column,B,A,rangeProb1,0
40,threat0,row,A,A,rangeProb1,62
40,threat1,column,B,A,rangeProb1,35
40,threat3,row,B,B,rangeProb1,30
40,pd0,row,A,A,rangeProb1,82
40,pd3,column,B,B,rangeProb1,16
40,coordination0,column,A,A,rangeProb1,52
40,coordination1,row,A,B,rangeProb1,53
40,singleControl0,row,A,A,rangeProb1,53
40,singleControl1,column,B,A,rangeProb1,0
40,disjunctive0,row,A,A,rangeProb1,53
40,disjunctive3,row,B,B,rangeProb1,0
41,disjunctive3,row,B,B,rangeProb1,50
41,disjunctive0,row,A,A,rangeProb1,52
41,threat0,column,A,A,rangeProb1,100
41,threat3,column,B,B,rangeProb1,0
41,threat1,column,B,A,rangeProb1,51
41,singleControl1,column,B,A,rangeProb1,0
41,singleControl0,row,A,A,rangeProb1,100
41,pd3,column,B,B,rangeProb1,16
41,pd0,row,A,A,rangeProb1,100
41,coordination1,column,B,A,rangeProb1,50
41,coordination0,row,A,A,rangeProb1,50
42,threat0,row,A,A,rangeProb1,97
42,threat1,column,B,A,rangeProb1,69
42,threat3,row,B,B,rangeProb1,25
42,coordination1,column,B,A,rangeProb1,100
42,coordination0,column,A,A,rangeProb1,100
42,pd3,row,B,B,rangeProb1,30
42,pd0,row,A,A,rangeProb1,98
42,singleControl0,column,A,A,rangeProb1,100
42,singleControl1,column,B,A,rangeProb1,100
42,disjunctive0,column,A,A,rangeProb1,97
42,disjunctive3,column,B,B,rangeProb1,100
43,disjunctive0,column,A,A,rangeProb1,52
43,disjunctive3,row,B,B,rangeProb1,52
43,threat0,row,A,A,rangeProb1,53
43,threat1,row,A,B,rangeProb1,62
43,threat3,row,B,B,rangeProb1,55
43,singleControl1,row,A,B,rangeProb1,57
43,singleControl0,column,A,A,rangeProb1,62
43,coordination1,column,B,A,rangeProb1,60
43,coordination0,column,A,A,rangeProb1,52
43,pd3,column,B,B,rangeProb1,56
43,pd0,row,A,A,rangeProb1,59
44,pd0,column,A,A,rangeProb1,100
44,pd3,column,B,B,rangeProb1,46
44,disjunctive3,column,B,B,rangeProb1,57
44,disjunctive0,row,A,A,rangeProb1,100
44,singleControl1,row,A,B,rangeProb1,61
44,singleControl0,column,A,A,rangeProb1,92
44,coordination1,row,A,B,rangeProb1,49
44,coordination0,column,A,A,rangeProb1,49
44,threat0,column,A,A,rangeProb1,58
44,threat1,row,A,B,rangeProb1,60
44,threat3,column,B,B,rangeProb1,51
46,threat0,column,A,A,rangeProb1,62
46,threat3,row,B,B,rangeProb1,27
46,threat1,row,A,B,rangeProb1,59
46,coordination1,column,B,A,rangeProb1,50
46,coordination0,column,A,A,rangeProb1,50
46,singleControl1,column,B,A,rangeProb1,27
46,singleControl0,row,A,A,rangeProb1,50
46,disjunctive0,column,A,A,rangeProb1,64
46,disjunctive3,row,B,B,rangeProb1,35
46,pd0,column,A,A,rangeProb1,51
46,pd3,column,B,B,rangeProb1,50
47,pd3,column,B,B,rangeProb1,27
47,pd0,column,A,A,rangeProb1,91
47,threat3,column,B,B,rangeProb1,35
47,threat1,column,B,A,rangeProb1,49
47,threat0,row,A,A,rangeProb1,49
47,coordination0,column,A,A,rangeProb1,50
47,coordination1,column,B,A,rangeProb1,50
47,singleControl0,row,A,A,rangeProb1,50
47,singleControl1,row,A,B,rangeProb1,50
47,disjunctive3,row,B,B,rangeProb1,40
47,disjunctive0,row,A,A,rangeProb1,48
48,pd3,column,B,B,rangeProb1,24
48,pd0,column,A,A,rangeProb1,100
48,coordination0,row,A,A,rangeProb1,50
48,coordination1,row,A,B,rangeProb1,50
48,threat1,row,A,B,rangeProb1,52
48,threat3,row,B,B,rangeProb1,13
48,threat0,row,A,A,rangeProb1,60
48,singleControl0,column,A,A,rangeProb1,100
48,singleControl1,row,A,B,rangeProb1,51
48,disjunctive0,column,A,A,rangeProb1,54
48,disjunctive3,column,B,B,rangeProb1,94
51,disjunctive3,column,B,B,rangeProb1,100
51,disjunctive0,row,A,A,rangeProb1,86
51,coordination1,row,A,B,rangeProb1,83
51,coordination0,row,A,A,rangeProb1,100
51,threat1,row,A,B,rangeProb1,100
51,threat3,row,B,B,rangeProb1,18
51,threat0,row,A,A,rangeProb1,70
51,singleControl1,row,A,B,rangeProb1,51
51,singleControl0,column,A,A,rangeProb1,78
51,pd3,column,B,B,rangeProb1,0
51,pd0,row,A,A,rangeProb1,100
52,coordination1,row,A,B,rangeProb1,10
52,coordination0,column,A,A,rangeProb1,94
52,disjunctive3,column,B,B,rangeProb1,98
52,disjunctive0,column,A,A,rangeProb1,91
52,singleControl0,row,A,A,rangeProb1,90
52,singleControl1,column,B,A,rangeProb1,4
52,threat0,column,A,A,rangeProb1,91
52,threat1,column,B,A,rangeProb1,89
52,threat3,column,B,B,rangeProb1,21
52,pd3,column,B,B,rangeProb1,27
52,pd0,column,A,A,rangeProb1,71
53,threat1,column,B,A,rangeProb1,43
53,threat3,column,B,B,rangeProb1,50
53,threat0,row,A,A,rangeProb1,51
53,singleControl0,column,A,A,rangeProb1,85
53,singleControl1,column,B,A,rangeProb1,1
53,coordination0,row,A,A,rangeProb1,62
53,coordination1,column,B,A,rangeProb1,79
53,disjunctive0,column,A,A,rangeProb1,100
53,disjunctive3,row,B,B,rangeProb1,36
53,pd0,row,A,A,rangeProb1,51
53,pd3,column,B,B,rangeProb1,32
54,coordination1,row,A,B,rangeProb1,100
54,coordination0,column,A,A,rangeProb1,99
54,pd0,row,A,A,rangeProb1,96
54,pd3,row,B,B,rangeProb1,19
54,threat3,row,B,B,rangeProb1,100
54,threat0,row,A,A,rangeProb1,77
54,threat1,row,A,B,rangeProb1,78
54,singleControl1,column,B,A,rangeProb1,2
54,singleControl0,column,A,A,rangeProb1,100
54,disjunctive3,row,B,B,rangeProb1,42
54,disjunctive0,row,A,A,rangeProb1,100
55,pd3,row,B,B,rangeProb1,0
55,pd0,row,A,A,rangeProb1,0
55,disjunctive3,column,B,B,rangeProb1,100
55,disjunctive0,column,A,A,rangeProb1,100
55,singleControl0,row,A,A,rangeProb1,100
55,singleControl1,row,A,B,rangeProb1,100
55,coordination0,column,A,A,rangeProb1,99
55,coordination1,column,B,A,rangeProb1,100
